Tuvalu,T2-###
Kiribati,T3-@@@
Niue,ZL-@@@
Wallis and Futuna,F-@@@@
Samoa,5W-@@@
American Samoa,N####*
French Polynesia,F-@@@@
Vanuatu,YJ-@@@
New Caledonia,F-@@@@
Antarctica,@@-@@@
New Zealand,ZK-@@@
Afghanistan,YA-@@@
Bahrain,A9C-@@
Saudi Arabia,HZ-@@@
Iran,EP-@@@
Syria,YK-@@@
Kuwait,9K-@@@
Lebanon,OD-@@@
United Arab Emirates,A6-@@@
Oman,A4O-@@@
Pakistan,AP-@@@
Iraq,YI-@@@
Qatar,A7-@@@
Yemen,7O-@@@
Northern Mariana Islands,N####*
Guam,N####*
Taiwan,B-#####
China,B-####
Japan,JA####
Korea,HL####
Argentina,LV-@@@
Guadeloupe,F-OG@@
Netherlands Antilles,PJ-@@@
Anguilla,VP-L@@
Paraguay,ZP-@@@
Brazil,PR-@@@
Chile,CC-***
Ecuador,HC-@@@
Colombia,HK-####
Venezuela,YV-@@@-#
Bolivia,CP####
Peru,OB-@@@-###
Suriname,PZ-@@@
French Guiana,F-@@@@
Uruguay,CX-@@@
Barbados,8P-@@@
Dominica,J7-@@@
Martinique,F-OM@@
St. Vincent and the Grenadines,J8-@@@
Saint Vincent and the Grenadines,J8-@@@
Grenada,J2-@@@
Tajikistan,EY-@@@
St. Kitts and Nevis,V4-@@@
Saint Kitts and Nevis,V4-@@@
St. Lucia,J6-@@@
Saint Lucia,J6-@@@
Turkmenistan,EZ-@@@
Aruba,P4-@@@
Virgin Islands. British,VP-LV@
Bermuda,VR-B@@
Kyrgyzstan,EX-@@@
Bangladesh,S3-@@@
Uzbekistan,UK-@@@
Kazakhstan,UN-@@@
Azerbaijan,4K-@@@
Russia,RA#####
India,VT-@@@
Armenia,EK-@@@
Georgia,4L-@@@
Ukraine,UR#####
Belarus,EW#####
Sri Lanka,4R-@@@
Cambodia,XU###
Hong Kong SAR,VR-H@@
Macao SAR,B-####
Laos,RDPL-@@@
Nepal,9N-@@@
Bhutan,A5-@@@
Maldives,8Q-@@@
Thailand,HS-@@@
Vietnam,VN-@###
Myanmar,XZ-@@@
Indonesia,PK-@@@
Malaysia,9M-@@@
Timor-Leste,CR-T@@
Singapore,9V-@@@
Australia,VH-@@@
Niger,5U-@@@
North Korea,P-@@@
Mongolia,MT-@@@
Trinidad and Tobago,9Y-@@@
Guinea-Bissau,J5-@@@
Guyana,8R-@@@
Faroe Islands,LN-@@@
Brunei,V8-@@@
Solomon Islands,H4-@@@
